,Day of Year,Year,Month,Day,First Hour of Period,Is Daylight,Distance to Solar Noon,Average Temperature (Day),Average Wind Direction (Day),Average Wind Speed (Day),Sky Cover,Visibility,Relative Humidity,Average Wind Speed (Period),Average Barometric Pressure (Period),Power Generated,Timestamp
2393,178,2009,06,27,7,True,0.353273138,70,30,9.7,1,10.0,75,0.0,29.91,8376,2009-06-27
2394,178,2009,06,27,10,True,0.150112867,70,30,9.7,0,9.0,71,3.0,29.92,27771,2009-06-27
2395,178,2009,06,27,13,True,0.053047404,70,30,9.7,0,10.0,43,10.0,29.89,32483,2009-06-27
2396,178,2009,06,27,16,True,0.256207675,70,30,9.7,0,10.0,34,21.0,29.86,20505,2009-06-27
2397,178,2009,06,27,19,True,0.459367946,70,30,9.7,0,10.0,43,17.0,29.85,1950,2009-06-27
2398,178,2009,06,27,22,False,0.662528217,70,30,9.7,0,10.0,53,8.0,29.87,0,2009-06-27
2404,179,2009,06,28,16,True,0.256207675,70,30,11.6,1,10.0,50,23.0,29.8,20767,2009-06-28
2405,179,2009,06,28,19,True,0.459367946,70,30,11.6,1,9.0,70,15.0,29.78,1996,2009-06-28
2403,179,2009,06,28,13,True,0.053047404,70,30,11.6,1,10.0,48,20.0,29.84,32832,2009-06-28
2406,179,2009,06,28,22,False,0.662528217,70,30,11.6,1,10.0,81,11.0,29.81,0,2009-06-28
2401,179,2009,06,28,7,True,0.353273138,70,30,11.6,0,10.0,68,0.0,29.87,8112,2009-06-28
2399,179,2009,06,28,1,False,0.759593679,70,30,11.6,0,10.0,65,5.0,29.85,0,2009-06-28
2402,179,2009,06,28,10,True,0.150112867,70,30,11.6,0,10.0,56,6.0,29.87,27692,2009-06-28
2400,179,2009,06,28,4,True,0.556433409,70,30,11.6,1,10.0,72,10.0,29.84,0,2009-06-28
2414,180,2009,06,29,22,False,0.663276836,62,30,13.3,0,10.0,78,6.0,29.82,0,2009-06-29
2407,180,2009,06,29,1,False,0.760451977,62,30,13.3,0,10.0,84,9.0,29.8,0,2009-06-29
2408,180,2009,06,29,4,True,0.557062147,62,30,13.3,1,10.0,93,14.0,29.8,0,2009-06-29
2409,180,2009,06,29,7,True,0.353672316,62,30,13.3,1,9.0,84,11.0,29.82,8254,2009-06-29
2410,180,2009,06,29,10,True,0.150282486,62,30,13.3,1,10.0,70,15.0,29.82,29225,2009-06-29
2411,180,2009,06,29,13,True,0.053107345,62,30,13.3,1,9.0,61,20.0,29.8,34434,2009-06-29
2412,180,2009,06,29,16,True,0.256497175,62,30,13.3,1,8.0,61,18.0,29.77,21417,2009-06-29
2413,180,2009,06,29,19,True,0.459887006,62,30,13.3,1,10.0,72,14.0,29.78,2070,2009-06-29
2422,181,2009,06,30,22,False,0.662146893,65,32,8.1,2,10.0,78,8.0,29.82,0,2009-06-30
2421,181,2009,06,30,19,True,0.458757062,65,32,8.1,1,10.0,70,10.0,29.78,2137,2009-06-30
2420,181,2009,06,30,16,True,0.255367232,65,32,8.1,2,10.0,59,15.0,29.77,22350,2009-06-30
2419,181,2009,06,30,13,True,0.051977401,65,32,8.1,1,10.0,62,8.0,29.81,34320,2009-06-30
2416,181,2009,06,30,4,True,0.55819209,65,32,8.1,1,10.0,87,6.0,29.79,0,2009-06-30
2417,181,2009,06,30,7,True,0.35480226,65,32,8.1,1,10.0,75,0.0,29.81,1645,2009-06-30
2415,181,2009,06,30,1,False,0.761581921,65,32,8.1,0,10.0,78,6.0,29.81,0,2009-06-30
2418,181,2009,06,30,10,True,0.151412429,65,32,8.1,1,10.0,73,7.0,29.82,18567,2009-06-30
2427,182,2009,07,01,13,True,0.052036199,65,31,8.6,1,10.0,55,8.0,29.83,35405,2009-07-01
2429,182,2009,07,01,19,True,0.459276018,65,31,8.6,1,10.0,75,16.0,29.81,2106,2009-07-01
2428,182,2009,07,01,16,True,0.255656109,65,31,8.6,1,10.0,55,15.0,29.8,21784,2009-07-01
2430,182,2009,07,01,22,False,0.662895928,65,31,8.6,1,10.0,84,9.0,29.84,0,2009-07-01
2426,182,2009,07,01,10,True,0.15158371,65,31,8.6,1,10.0,70,5.0,29.84,15670,2009-07-01
2424,182,2009,07,01,4,True,0.558823529,65,31,8.6,4,10.0,75,5.0,29.82,0,2009-07-01
2423,182,2009,07,01,1,False,0.762443439,65,31,8.6,2,10.0,81,6.0,29.81,0,2009-07-01
2425,182,2009,07,01,7,True,0.35520362,65,31,8.6,4,10.0,75,3.0,29.84,1748,2009-07-01
2437,183,2009,07,02,19,True,0.459796149,64,29,12.3,1,10.0,75,18.0,29.88,1953,2009-07-02
2436,183,2009,07,02,16,True,0.25594564,64,29,12.3,1,10.0,59,21.0,29.86,21804,2009-07-02
2435,183,2009,07,02,13,True,0.05209513,64,29,12.3,1,10.0,57,17.0,29.87,34373,2009-07-02
2438,183,2009,07,02,22,False,0.663646659,64,29,12.3,1,10.0,81,10.0,29.93,0,2009-07-02
2433,183,2009,07,02,7,True,0.355605889,64,29,12.3,4,10.0,75,0.0,29.87,2399,2009-07-02
2432,183,2009,07,02,4,True,0.559456399,64,29,12.3,4,10.0,83,8.0,29.85,0,2009-07-02
2431,183,2009,07,02,1,False,0.763306908,64,29,12.3,1,10.0,87,7.0,29.85,0,2009-07-02
2434,183,2009,07,02,10,True,0.151755379,64,29,12.3,1,10.0,68,10.0,29.88,22313,2009-07-02
2439,184,2009,07,03,1,False,0.764172336,61,29,14.4,2,10.0,81,7.0,29.92,0,2009-07-03
2440,184,2009,07,03,4,True,0.560090703,61,29,14.4,4,10.0,80,10.0,29.92,0,2009-07-03
2441,184,2009,07,03,7,True,0.35600907,61,29,14.4,4,9.0,81,9.0,29.94,2670,2009-07-03
2442,184,2009,07,03,10,True,0.151927438,61,29,14.4,1,10.0,65,14.0,29.96,27457,2009-07-03
2443,184,2009,07,03,13,True,0.052154195,61,29,14.4,1,10.0,59,20.0,29.95,34647,2009-07-03
2444,184,2009,07,03,16,True,0.256235828,61,29,14.4,2,10.0,63,23.0,29.94,21996,2009-07-03
2445,184,2009,07,03,19,True,0.46031746,61,29,14.4,1,10.0,80,20.0,29.95,2118,2009-07-03
2446,184,2009,07,03,22,False,0.664399093,61,29,14.4,2,10.0,83,15.0,29.98,0,2009-07-03
2452,185,2009,07,04,16,True,0.256235828,64,27,11.0,1,10.0,57,17.0,29.97,21778,2009-07-04
2453,185,2009,07,04,19,True,0.46031746,64,27,11.0,1,10.0,70,14.0,29.97,2075,2009-07-04
2451,185,2009,07,04,13,True,0.052154195,64,27,11.0,1,10.0,55,21.0,29.99,34902,2009-07-04
2454,185,2009,07,04,22,False,0.664399093,64,27,11.0,1,10.0,78,11.0,29.99,0,2009-07-04
2449,185,2009,07,04,7,True,0.35600907,64,27,11.0,3,10.0,78,0.0,30.0,1643,2009-07-04
2447,185,2009,07,04,1,False,0.764172336,64,27,11.0,3,10.0,86,10.0,29.98,0,2009-07-04
2450,185,2009,07,04,10,True,0.151927438,64,27,11.0,1,10.0,63,7.0,30.01,18585,2009-07-04
2448,185,2009,07,04,4,True,0.560090703,64,27,11.0,4,10.0,83,8.0,29.97,0,2009-07-04
2462,186,2009,07,05,22,False,0.665153235,61,27,15.1,3,10.0,75,11.0,30.05,0,2009-07-05
2455,186,2009,07,05,1,False,0.765039728,61,27,15.1,3,10.0,78,8.0,29.98,0,2009-07-05
2456,186,2009,07,05,4,True,0.560726447,61,27,15.1,4,10.0,78,8.0,29.98,0,2009-07-05
2457,186,2009,07,05,7,True,0.356413167,61,27,15.1,4,10.0,80,10.0,30.01,1093,2009-07-05
2458,186,2009,07,05,10,True,0.152099886,61,27,15.1,2,10.0,70,17.0,30.02,10324,2009-07-05
2459,186,2009,07,05,13,True,0.052213394,61,27,15.1,3,10.0,72,18.0,30.03,29059,2009-07-05
2460,186,2009,07,05,16,True,0.256526674,61,27,15.1,1,10.0,63,21.0,30.02,21963,2009-07-05
2461,186,2009,07,05,19,True,0.460839955,61,27,15.1,3,10.0,72,22.0,30.03,2095,2009-07-05
2469,187,2009,07,06,19,True,0.459704881,62,27,15.8,1,10.0,72,18.0,29.97,2065,2009-07-06
2468,187,2009,07,06,16,True,0.2553916,62,27,15.8,1,10.0,56,22.0,30.0,22253,2009-07-06
2467,187,2009,07,06,13,True,0.05107832,62,27,15.8,0,10.0,51,22.0,30.03,35486,2009-07-06
2464,187,2009,07,06,4,True,0.561861521,62,27,15.8,3,10.0,75,14.0,30.03,0,2009-07-06
2465,187,2009,07,06,7,True,0.357548241,62,27,15.8,2,10.0,70,13.0,30.04,7462,2009-07-06
2463,187,2009,07,06,1,False,0.766174801,62,27,15.8,4,10.0,75,11.0,30.04,0,2009-07-06
2470,187,2009,07,06,22,False,0.664018161,62,27,15.8,2,10.0,80,10.0,29.98,0,2009-07-06
2466,187,2009,07,06,10,True,0.15323496,62,27,15.8,1,10.0,56,17.0,30.05,29899,2009-07-06
2477,188,2009,07,07,19,True,0.460750853,62,27,12.9,1,10.0,67,13.0,29.91,2045,2009-07-07
2476,188,2009,07,07,16,True,0.255972696,62,27,12.9,2,10.0,63,18.0,29.93,22350,2009-07-07
2478,188,2009,07,07,22,False,0.66552901,62,27,12.9,0,10.0,72,7.0,29.93,0,2009-07-07
2475,188,2009,07,07,13,True,0.051194539,62,27,12.9,2,10.0,65,22.0,29.97,29027,2009-07-07
2474,188,2009,07,07,10,True,0.153583618,62,27,12.9,1,10.0,65,18.0,29.96,21133,2009-07-07
2473,188,2009,07,07,7,True,0.358361775,62,27,12.9,1,10.0,78,0.0,29.94,2844,2009-07-07
2472,188,2009,07,07,4,True,0.563139932,62,27,12.9,4,10.0,80,9.0,29.93,0,2009-07-07
2471,188,2009,07,07,1,False,0.767918089,62,27,12.9,3,10.0,78,13.0,29.95,0,2009-07-07
2479,189,2009,07,08,1,False,0.767918089,64,28,17.7,0,10.0,78,6.0,29.92,0,2009-07-08
2480,189,2009,07,08,4,True,0.563139932,64,28,17.7,1,10.0,80,11.0,29.91,0,2009-07-08
2481,189,2009,07,08,7,True,0.358361775,64,28,17.7,1,10.0,72,13.0,29.95,8087,2009-07-08
2482,189,2009,07,08,10,True,0.153583618,64,28,17.7,1,10.0,53,11.0,29.95,28523,2009-07-08
2483,189,2009,07,08,13,True,0.051194539,64,28,17.7,0,10.0,55,24.0,29.96,33563,2009-07-08
2484,189,2009,07,08,16,True,0.255972696,64,28,17.7,1,10.0,53,29.0,29.91,21125,2009-07-08
2485,189,2009,07,08,19,True,0.460750853,64,28,17.7,2,10.0,70,17.0,29.91,1980,2009-07-08
2486,189,2009,07,08,22,False,0.66552901,64,28,17.7,1,10.0,80,22.0,29.94,0,2009-07-08
2494,190,2009,07,09,22,False,0.666287016,60,26,14.7,1,10.0,78,17.0,29.99,0,2009-07-09
2493,190,2009,07,09,19,True,0.461275626,60,26,14.7,1,10.0,72,14.0,29.97,2026,2009-07-09
2492,190,2009,07,09,16,True,0.256264237,60,26,14.7,1,10.0,59,17.0,29.96,21575,2009-07-09
2491,190,2009,07,09,13,True,0.051252847,60,26,14.7,1,10.0,59,24.0,29.99,34620,2009-07-09
2487,190,2009,07,09,1,False,0.768792711,60,26,14.7,3,10.0,83,16.0,29.95,0,2009-07-09
2489,190,2009,07,09,7,True,0.358769932,60,26,14.7,3,10.0,83,8.0,29.98,6537,2009-07-09
2488,190,2009,07,09,4,True,0.563781321,60,26,14.7,3,10.0,90,11.0,29.96,0,2009-07-09
2490,190,2009,07,09,10,True,0.153758542,60,26,14.7,3,10.0,75,16.0,30.01,29343,2009-07-09
2499,191,2009,07,10,13,True,0.051369863,61,28,14.6,3,10.0,65,21.0,30.01,32108,2009-07-10
2501,191,2009,07,10,19,True,0.462328767,61,28,14.6,2,10.0,75,20.0,29.96,1995,2009-07-10
2500,191,2009,07,10,16,True,0.256849315,61,28,14.6,2,10.0,63,21.0,29.98,20796,2009-07-10
2502,191,2009,07,10,22,False,0.667808219,61,28,14.6,3,10.0,87,22.0,29.99,0,2009-07-10
2498,191,2009,07,10,10,True,0.154109589,61,28,14.6,2,10.0,65,15.0,30.01,27381,2009-07-10
2496,191,2009,07,10,4,True,0.565068493,61,28,14.6,1,10.0,86,9.0,29.98,0,2009-07-10
2497,191,2009,07,10,7,True,0.359589041,61,28,14.6,1,10.0,75,10.0,29.99,2162,2009-07-10
2495,191,2009,07,10,1,False,0.770547945,61,28,14.6,3,10.0,83,9.0,29.98,0,2009-07-10
2503,192,2009,07,11,1,False,0.770547945,62,28,13.3,4,10.0,90,18.0,29.99,0,2009-07-11
2504,192,2009,07,11,4,True,0.565068493,62,28,13.3,3,10.0,93,7.0,29.99,0,2009-07-11
2505,192,2009,07,11,7,True,0.359589041,62,28,13.3,3,10.0,83,7.0,30.0,1846,2009-07-11
2506,192,2009,07,11,10,True,0.154109589,62,28,13.3,3,10.0,68,13.0,30.02,22926,2009-07-11
2507,192,2009,07,11,13,True,0.051369863,62,28,13.3,3,10.0,53,18.0,30.02,30448,2009-07-11
2508,192,2009,07,11,16,True,0.256849315,62,28,13.3,4,10.0,65,23.0,30.01,14217,2009-07-11
2509,192,2009,07,11,19,True,0.462328767,62,28,13.3,3,10.0,81,11.0,30.0,1398,2009-07-11
2510,192,2009,07,11,22,False,0.667808219,62,28,13.3,3,10.0,83,16.0,30.0,0,2009-07-11
2512,193,2009,07,12,4,True,0.565714286,62,28,16.1,3,10.0,93,14.0,30.02,0,2009-07-12
2518,193,2009,07,12,22,False,0.668571429,62,28,16.1,0,10.0,78,17.0,30.05,0,2009-07-12
2517,193,2009,07,12,19,True,0.462857143,62,28,16.1,2,10.0,67,23.0,30.04,2011,2009-07-12
2516,193,2009,07,12,16,True,0.257142857,62,28,16.1,2,10.0,53,28.0,30.05,21038,2009-07-12
2511,193,2009,07,12,1,False,0.771428571,62,28,16.1,3,10.0,90,9.0,30.01,0,2009-07-12
2514,193,2009,07,12,10,True,0.154285714,62,28,16.1,2,10.0,65,14.0,30.07,28764,2009-07-12
2513,193,2009,07,12,7,True,0.36,62,28,16.1,3,10.0,93,11.0,30.05,6342,2009-07-12
2515,193,2009,07,12,13,True,0.051428571,62,28,16.1,2,10.0,55,20.0,30.07,33909,2009-07-12
2523,194,2009,07,13,13,True,0.050400916,70,28,10.6,0,10.0,28,13.0,29.95,32729,2009-07-13
2525,194,2009,07,13,19,True,0.46277205,70,28,10.6,0,10.0,54,24.0,29.88,1753,2009-07-13
2524,194,2009,07,13,16,True,0.256586483,70,28,10.6,0,10.0,34,23.0,29.91,20746,2009-07-13
2526,194,2009,07,13,22,False,0.668957617,70,28,10.6,0,10.0,65,9.0,29.89,0,2009-07-13
2522,194,2009,07,13,10,True,0.155784651,70,28,10.6,0,10.0,63,3.0,30.01,28056,2009-07-13
2520,194,2009,07,13,4,True,0.568155785,70,28,10.6,1,10.0,86,6.0,30.0,0,2009-07-13
2519,194,2009,07,13,1,False,0.774341352,70,28,10.6,0,10.0,83,10.0,30.02,0,2009-07-13
2521,194,2009,07,13,7,True,0.361970218,70,28,10.6,1,10.0,70,0.0,30.03,8059,2009-07-13
2533,195,2009,07,14,19,True,0.46277205,73,30,10.4,1,10.0,68,18.0,29.82,1952,2009-07-14
2532,195,2009,07,14,16,True,0.256586483,73,30,10.4,0,10.0,43,22.0,29.81,20315,2009-07-14
2531,195,2009,07,14,13,True,0.050400916,73,30,10.4,0,10.0,33,13.0,29.83,32195,2009-07-14
2534,195,2009,07,14,22,False,0.668957617,73,30,10.4,1,10.0,81,11.0,29.87,0,2009-07-14
2529,195,2009,07,14,7,True,0.361970218,73,30,10.4,1,10.0,63,0.0,29.86,7896,2009-07-14
2528,195,2009,07,14,4,True,0.568155785,73,30,10.4,1,10.0,72,6.0,29.85,0,2009-07-14
2527,195,2009,07,14,1,False,0.774341352,73,30,10.4,0,10.0,72,5.0,29.87,0,2009-07-14
2530,195,2009,07,14,10,True,0.155784651,73,30,10.4,0,10.0,64,5.0,29.86,27500,2009-07-14
2535,196,2009,07,15,1,False,0.776119403,62,30,14.7,1,10.0,87,11.0,29.86,0,2009-07-15
2536,196,2009,07,15,4,False,0.56946039,62,30,14.7,1,10.0,90,9.0,29.88,0,2009-07-15
2537,196,2009,07,15,7,True,0.362801378,62,30,14.7,1,10.0,84,10.0,29.93,2734,2009-07-15
2538,196,2009,07,15,10,True,0.156142365,62,30,14.7,1,10.0,63,14.0,29.96,20080,2009-07-15
2539,196,2009,07,15,13,True,0.050516648,62,30,14.7,1,10.0,59,18.0,29.96,34591,2009-07-15
2540,196,2009,07,15,16,True,0.25717566,62,30,14.7,1,10.0,68,23.0,29.94,21875,2009-07-15
2541,196,2009,07,15,19,True,0.463834673,62,30,14.7,1,10.0,83,18.0,29.96,2232,2009-07-15
2542,196,2009,07,15,22,False,0.670493685,62,30,14.7,1,10.0,93,15.0,29.99,0,2009-07-15
2548,197,2009,07,16,16,True,0.257471264,60,30,13.0,1,10.0,61,18.0,29.98,21208,2009-07-16
2549,197,2009,07,16,19,True,0.464367816,60,30,13.0,1,10.0,83,20.0,29.99,1992,2009-07-16
2547,197,2009,07,16,13,True,0.050574713,60,30,13.0,1,10.0,59,16.0,30.03,33639,2009-07-16
2550,197,2009,07,16,22,False,0.671264368,60,30,13.0,1,10.0,90,14.0,30.03,0,2009-07-16
2545,197,2009,07,16,7,True,0.363218391,60,30,13.0,1,10.0,90,8.0,30.04,1861,2009-07-16
2543,197,2009,07,16,1,False,0.777011494,60,30,13.0,1,10.0,96,11.0,29.99,0,2009-07-16
2546,197,2009,07,16,10,True,0.156321839,60,30,13.0,1,10.0,73,13.0,30.05,26433,2009-07-16
2544,197,2009,07,16,4,False,0.570114943,60,30,13.0,1,10.0,93,10.0,30.0,0,2009-07-16
2558,198,2009,07,17,22,False,0.67281106,62,30,13.7,1,10.0,93,15.0,29.97,0,2009-07-17
2551,198,2009,07,17,1,False,0.778801843,62,30,13.7,1,10.0,93,13.0,30.01,0,2009-07-17
2552,198,2009,07,17,4,False,0.571428571,62,30,13.7,1,10.0,93,10.0,30.01,0,2009-07-17
2553,198,2009,07,17,7,True,0.3640553,62,30,13.7,1,10.0,83,6.0,30.03,5203,2009-07-17
2554,198,2009,07,17,10,True,0.156682028,62,30,13.7,1,10.0,68,8.0,30.02,28196,2009-07-17
2555,198,2009,07,17,13,True,0.050691244,62,30,13.7,1,10.0,57,17.0,29.98,32608,2009-07-17
2556,198,2009,07,17,16,True,0.258064516,62,30,13.7,2,10.0,63,21.0,29.93,20628,2009-07-17
2557,198,2009,07,17,19,True,0.465437788,62,30,13.7,1,10.0,78,18.0,29.95,1829,2009-07-17
2565,199,2009,07,18,19,True,0.465974625,64,30,13.0,2,10.0,84,18.0,29.89,1810,2009-07-18
2564,199,2009,07,18,16,True,0.258362168,64,30,13.0,3,10.0,70,23.0,29.9,18452,2009-07-18
2563,199,2009,07,18,13,True,0.050749712,64,30,13.0,3,10.0,53,16.0,29.91,34224,2009-07-18
2560,199,2009,07,18,4,False,0.572087659,64,30,13.0,1,10.0,90,6.0,29.93,0,2009-07-18
2561,199,2009,07,18,7,True,0.364475202,64,30,13.0,1,10.0,81,6.0,29.94,4180,2009-07-18
2559,199,2009,07,18,1,False,0.779700115,64,30,13.0,1,10.0,86,9.0,29.95,0,2009-07-18
